Player,Pos,Ht_in,Wt,Birth Date,Colleges
Jack Eskridge,C-F,77,200.0,1924-01-21,Kansas
Vincenzo Esposito,G,75,198.0,1969-03-01,
Drew Eubanks,F,81,245.0,1997-02-01,Oregon State
Billy Evans,G,72,170.0,1947-03-03,Boston College
Bob Evans,G,74,175.0,1925-05-31,Butler
Brian Evans,F,80,220.0,1973-09-13,Indiana
Earl Evans,F,80,202.0,1955-11-11,USC UNLV
Jacob Evans,G-F,76,210.0,1997-06-18,Cincinnati
Jawun Evans,G,72,185.0,1996-07-26,Oklahoma State
Jeremy Evans,F,81,200.0,1987-10-24,Western Kentucky
Maurice Evans,G,77,220.0,1978-11-08,Wichita State Texas
Mike Evans,G,73,170.0,1955-04-19,Kansas State
Reggie Evans,F,80,245.0,1980-05-18,Iowa
Tyreke Evans,G-F,78,220.0,1989-09-19,Memphis
Daniel Ewing,G,75,185.0,1983-03-26,Duke
Patrick Ewing*,C-F,84,240.0,1962-08-05,Georgetown
Patrick Ewing,F,80,235.0,1984-05-20,Indiana Georgetown
Dante Exum,G,77,214.0,1995-07-13,
Christian Eyenga,F,77,210.0,1989-06-22,
Festus Ezeli,C,83,255.0,1989-10-21,Vanderbilt
Johnny Ezersky,F-G,75,175.0,1922-03-21,Rhode Island
Ledell Eackles,G-F,77,220.0,1966-11-24,New Orleans
Jim Eakins,C,83,215.0,1946-05-24,BYU
Acie Earl,F-C,82,240.0,1970-06-23,Iowa
Ed Earle,F,75,190.0,1927-04-28,Loyola Chicago
Cleanthony Early,F,80,210.0,1991-04-17,Wichita State
Penny Early,G,63,114.0,1943-05-30,
Mark Eaton,C,88,275.0,1957-01-24,UCLA
Jerry Eaves,G,76,180.0,1959-02-08,Louisville
Devin Ebanks,F,81,215.0,1989-10-28,West Virginia
Bill Ebben,G,76,190.0,1935-10-07,Detroit Mercy
Al Eberhard,F,78,225.0,1952-05-10,Missouri
Ndudi Ebi,F,81,200.0,1984-06-18,
Roy Ebron,C,81,220.0,1951-08-31,Louisiana
Jaime Echenique,C,83,258.0,1997-04-27,Trinity Valley CC Wichita State
Jarell Eddie,G-F,79,218.0,1991-10-30,Virginia Tech
Patrick Eddie,C,83,240.0,1967-12-27,Arkansas State University Ole Miss
Dike Eddleman,F-G,75,189.0,1922-12-27,Illinois
Kenton Edelin,F,80,205.0,1962-05-24,Virginia
Charles Edge,F,78,210.0,1950-02-23,LeMoyne-Owen College
Bobby Edmonds,F,78,220.0,1941-03-08,Tennessee State
Keith Edmonson,G,77,195.0,1960-09-28,Purdue
Tyus Edney,G,70,152.0,1973-02-14,UCLA
Anthony Edwards,G,76,225.0,2001-08-05,Georgia
Bill Edwards,F,80,215.0,1971-09-22,Wright State University
Blue Edwards,G-F,76,200.0,1965-10-31,East Carolina University
Carsen Edwards,G,71,200.0,1998-03-12,Purdue
Corsley Edwards,F,81,275.0,1979-03-05,Central Connecticut State University
Doug Edwards,F,79,220.0,1971-01-21,Florida State
Franklin Edwards,G,73,170.0,1959-02-02,Cleveland State University
James Edwards,C-F,84,225.0,1955-11-22,Washington
Jay Edwards,G,76,185.0,1969-01-03,Indiana
John Edwards,C,84,275.0,1981-07-31,Kent State University
Kessler Edwards,F,80,215.0,2000-08-09,Pepperdine
Kevin Edwards,G,75,190.0,1965-10-30,DePaul
Rob Edwards,G,77,205.0,1997-01-20,Cleveland State University Arizona State
Shane Edwards,F,79,220.0,1987-05-31,Little Rock
Vince Edwards,F,80,225.0,1996-04-05,Purdue
Johnny Egan,G,71,180.0,1939-01-31,Providence
Lonnie Eggleston,G,72,170.0,1918-06-08,Oklahoma State
Bulbs Ehlers,F-G,75,198.0,1923-03-10,Purdue
Craig Ehlo,G-F,78,180.0,1961-08-11,Washington State
Rich Eichhorst,G,75,200.0,1933-10-21,SE Missouri State
Howard Eisley,G,74,177.0,1972-12-04,Boston College
Obinna Ekezie,F-C,81,270.0,1975-08-22,Maryland
Khalid El-Amin,G,70,200.0,1979-04-25,UConn
Don Eliason,F,74,210.0,1918-07-24,Hamline University
Mario Elie,G-F,77,210.0,1963-11-26,American International College
CJ Elleby,F,78,200.0,2000-06-16,Washington State
Ray Ellefson,C,80,230.0,1922-11-18,West Texas A&M University
Henry Ellenson,F,82,240.0,1997-01-13,Marquette
Wayne Ellington,G,76,207.0,1987-11-29,UNC
Bob Elliott,C-F,81,225.0,1955-08-18,Arizona
Sean Elliott,F,80,205.0,1968-02-02,Arizona
Bo Ellis,F,81,197.0,1954-08-08,Marquette
Boo Ellis,F,77,185.0,1936-02-11,Niagara University
Dale Ellis,G-F,79,205.0,1960-08-06,Tennessee
Harold Ellis,G,77,200.0,1970-10-07,Morehouse College
Joe Ellis,F-G,78,175.0,1944-05-03,San Francisco
LaPhonso Ellis,F,80,240.0,1970-05-05,Notre Dame
LeRon Ellis,F-C,81,225.0,1969-04-28,Kentucky Syracuse
Leroy Ellis,C-F,82,210.0,1940-03-10,St. John's
Monta Ellis,G,75,185.0,1985-10-26,
Pervis Ellison,F-C,81,210.0,1967-04-03,Louisville
Len Elmore,C-F,81,220.0,1952-03-28,Maryland
Francisco Elson,C,84,235.0,1976-02-28,California
Darrell Elston,G,76,190.0,1952-08-15,UNC
Melvin Ely,C,82,260.0,1978-05-02,Fresno State
Joel Embiid,C,84,280.0,1994-03-16,Kansas
Wayne Embry*,C-F,80,240.0,1937-03-26,Miami University
Andre Emmett,F,77,230.0,1982-08-27,Texas Tech
Ned Endress,F-G,74,200.0,1918-03-02,University of Akron
Wayne Engelstad,F,80,245.0,1965-12-06,University of California Irvine
Chris Engler,C,83,245.0,1959-03-01,Minnesota Wyoming
A.J. English,G,75,175.0,1967-07-11,Virginia Union University
Alex English*,F,79,190.0,1954-01-05,South Carolina
Claude English,F,76,185.0,1946-12-26,Rhode Island
Jo Jo English,G,76,195.0,1970-02-04,South Carolina
Kim English,G,78,200.0,1988-09-24,Missouri
Scott English,F,78,205.0,1950-10-20,Texas-El Paso
Gene Englund,F-C,77,205.0,1917-10-21,Wisconsin
James Ennis III,F,78,215.0,1990-07-01,Cal State Long Beach
Tyler Ennis,G,75,194.0,1994-08-24,Syracuse
Ray Epps,F,78,195.0,1956-08-20,Norfolk State
Semih Erden,C,84,240.0,1986-07-28,
Bo Erias,F,75,220.0,1932-07-30,Niagara University
Keith Erickson,F-G,77,195.0,1944-04-19,UCLA
Julius Erving*,F-G,79,210.0,1950-02-22,UMass
Evan Eschmeyer,C,83,255.0,1975-05-30,Northwestern
Jack Eskridge,C-F,77,200.0,1924-01-21,Kansas
Vincenzo Esposito,G,75,198.0,1969-03-01,
Drew Eubanks,F,81,245.0,1997-02-01,Oregon State
Billy Evans,G,72,170.0,1947-03-03,Boston College
Bob Evans,G,74,175.0,1925-05-31,Butler
Brian Evans,F,80,220.0,1973-09-13,Indiana
Earl Evans,F,80,202.0,1955-11-11,USC UNLV
Jacob Evans,G-F,76,210.0,1997-06-18,Cincinnati
Jawun Evans,G,72,185.0,1996-07-26,Oklahoma State
Jeremy Evans,F,81,200.0,1987-10-24,Western Kentucky
Maurice Evans,G,77,220.0,1978-11-08,Wichita State Texas
Mike Evans,G,73,170.0,1955-04-19,Kansas State
Reggie Evans,F,80,245.0,1980-05-18,Iowa
Tyreke Evans,G-F,78,220.0,1989-09-19,Memphis
Daniel Ewing,G,75,185.0,1983-03-26,Duke
Patrick Ewing*,C-F,84,240.0,1962-08-05,Georgetown
Patrick Ewing,F,80,235.0,1984-05-20,Indiana Georgetown
Dante Exum,G,77,214.0,1995-07-13,
Christian Eyenga,F,77,210.0,1989-06-22,
Festus Ezeli,C,83,255.0,1989-10-21,Vanderbilt
Johnny Ezersky,F-G,75,175.0,1922-03-21,Rhode Island
Bill Gabor,G-F,71,170.0,1922-05-13,Syracuse
Wenyen Gabriel,F,81,205.0,1997-03-26,Kentucky
Dan Gadzuric,C,83,240.0,1978-02-02,UCLA
Daniel Gafford,F,82,234.0,1998-10-01,Arkansas
Deng Gai,F,81,250.0,1982-03-22,Fairfield
Elmer Gainer,F-C,78,195.0,1918-11-22,DePaul
Bill Gaines,G,76,185.0,1946-03-10,Texas A&M University-Commerce
Corey Gaines,G,75,195.0,1965-06-01,UCLA Loyola Marymount
Reece Gaines,G,78,205.0,1981-01-07,Louisville
Smokey Gaines,G,73,170.0,1940-02-27,LeMoyne-Owen College
Sundiata Gaines,G,73,185.0,1986-04-18,Georgia
Mike Gale,G,76,185.0,1950-07-18,Elizabeth City State University
Chad Gallagher,C,82,255.0,1969-05-30,Creighton
Harry Gallatin*,F-C,78,210.0,1927-04-26,Truman State University
Gene Gallette,F,74,205.0,1919-02-22,
Danilo Gallinari,F,82,233.0,1988-08-08,
Langston Galloway,G,73,200.0,1991-12-09,Saint Joseph's
Dave Gambee,F,78,215.0,1937-04-16,Oregon State
Kevin Gamble,F-G,77,210.0,1965-11-13,Iowa
Bob Gantt,F-C,76,205.0,1922-06-22,Duke
Jorge Garbajosa,F,81,245.0,1977-12-19,
Rubén Garcés,F,81,245.0,1973-10-17,Providence
Alex Garcia,G,75,220.0,1980-03-04,
Francisco García,F-G,79,195.0,1981-12-31,Louisville
Chuck Gardner,F,80,205.0,1944-09-30,Colorado
Earl Gardner,F,75,195.0,1923-09-18,DePauw University
Kenneth Gardner,F,77,205.0,1949-09-27,Utah
Thomas Gardner,G,77,225.0,1985-02-08,Missouri
Vern Gardner,F-C,77,200.0,1925-05-14,Utah
Jack Garfinkel,G,72,190.0,1918-06-13,St. John's
Patricio Garino,G-F,78,210.0,1993-05-17,George Washington
Darius Garland,G,73,192.0,2000-01-26,Vanderbilt
Gary Garland,G,76,180.0,1957-10-12,DePaul
Winston Garland,G,74,170.0,1964-12-19,Missouri State
Dick Garmaker,G-F,75,200.0,1932-10-29,Minnesota
Bill Garner,C,82,220.0,1940-06-17,University of Portland
Chris Garner,G,70,156.0,1975-02-02,Memphis
Bill Garnett,F,81,225.0,1960-04-22,Wyoming
Kevin Garnett*,F-C,83,240.0,1976-05-19,
Marlon Garnett,G,74,186.0,1975-07-03,Santa Clara
Billy Garrett,G,78,213.0,1994-10-16,DePaul
Calvin Garrett,F,79,190.0,1956-07-11,Austin Peay State University Oral Roberts
Dean Garrett,C,82,225.0,1966-11-27,Indiana
Diante Garrett,G,76,190.0,1988-11-03,Iowa State
Dick Garrett,G,75,185.0,1947-01-31,Southern Illinois
Marcus Garrett,G,77,205.0,1998-11-09,Kansas
Rowland Garrett,F,78,210.0,1950-07-16,Florida State
Tom Garrick,G,74,185.0,1966-07-07,Rhode Island
John Garris,F,80,205.0,1959-06-06,Michigan Boston College
Kiwane Lemorris Garris,G,74,183.0,1974-09-24,Illinois
Pat Garrity,F,81,238.0,1976-08-23,Notre Dame
Usman Garuba,F,80,220.0,2002-03-09,
Jim Garvin,F,79,200.0,1950-02-05,Boston University
Luka Garza,F-C,83,235.0,1998-12-27,Iowa
Marc Gasol,C,83,255.0,1985-01-29,
Pau Gasol,C-F,84,250.0,1980-07-06,
Frank Gates,G,72,160.0,1920-04-12,Sam Houston State University
Chris Gatling,F-C,82,220.0,1967-09-03,Old Dominion
Kenny Gattison,F-C,80,225.0,1964-05-23,Old Dominion
Rudy Gay,F,80,250.0,1986-08-17,UConn
Ed Gayda,G-F,76,210.0,1927-05-16,Washington State
Andrew Gaze,G,79,205.0,1965-07-24,Seton Hall
Michael Gbinije,G,79,200.0,1992-06-05,Duke Syracuse
Reggie Geary,G,74,187.0,1973-08-31,Arizona
Alonzo Gee,G,78,225.0,1987-05-29,Alabama
Matt Geiger,C,84,243.0,1969-09-10,Auburn Georgia Tech
Mickaël Gelabale,F,79,215.0,1983-05-22,
Devean George,G-F,80,220.0,1977-08-29,Augsburg College
Jack George,G,74,190.0,1928-11-13,La Salle
Paul George,F,80,220.0,1990-05-02,Fresno State
Tate George,G,77,190.0,1968-05-29,UConn
Marcus Georges-Hunt,G,77,216.0,1994-03-28,Georgia Tech
Gus Gerard,F-G,80,200.0,1953-07-27,Virginia
Derrick Gervin,F,80,200.0,1963-03-28,Texas-San Antonio
George Gervin*,G-F,79,180.0,1952-04-27,Eastern Michigan
Gorham Getchell,C,76,205.0,1920-08-14,Temple
John Gianelli,C-F,82,220.0,1950-06-10,University of the Pacific
Dick Gibbs,F-G,77,210.0,1948-12-20,Texas-El Paso
Daniel Gibson,G,74,190.0,1986-02-27,Texas
Dee Gibson,F-G,71,175.0,1923-08-25,Western Kentucky
Hoot Gibson,F-C,77,198.0,1921-12-05,Creighton
Jonathan Gibson,G,74,185.0,1987-11-08,New Mexico State
Mel Gibson,G,75,180.0,1940-12-30,Western Carolina University
Mike Gibson,F,82,205.0,1960-10-27,USC Upstate
Taj Gibson,F,81,232.0,1985-06-24,USC
J.R. Giddens,G,77,215.0,1985-02-13,Kansas New Mexico
Josh Giddey,G,80,210.0,2002-10-10,
Trey Gilder,F,81,185.0,1985-01-24,McNeese State University Northwestern State University
Harry Giles,F-C,83,240.0,1998-04-22,Duke
Shai Gilgeous-Alexander,G,78,180.0,1998-07-12,Kentucky
Anthony Gill,F,79,230.0,1992-10-17,South Carolina Virginia
Eddie Gill,G,72,190.0,1978-08-16,Weber State
Kendall Gill,G,77,195.0,1968-05-25,Illinois
Ben Gillery,C,84,235.0,1965-09-19,Georgetown
Freddie Gillespie,F,81,245.0,1997-06-14,Carleton College Baylor
Jack Gillespie,F,78,215.0,1947-10-01,Montana State
Armen Gilliam,F-C,81,230.0,1964-05-28,UNLV
Herm Gilliam,G-F,75,190.0,1946-05-05,Purdue
Artis Gilmore*,C,86,240.0,1949-09-21,Gardner-Webb University Jacksonville University
Walt Gilmore,F,78,225.0,1947-02-27,Fort Valley State University
Chuck Gilmur,F-C,76,225.0,1922-08-13,Washington
Manu Ginóbili*,G,78,205.0,1977-07-28,
Gordan Giri?ek,G-F,78,210.0,1977-06-20,
Jack Givens,F-G,77,205.0,1956-09-21,Kentucky
Mickell Gladness,C,83,220.0,1986-07-26,Alabama A&M University
George Glamack,C-F,78,225.0,1918-06-07,UNC
Gerald Glass,G-F,77,221.0,1967-11-12,Delta State University Ole Miss
Mike Glenn,G,74,175.0,1955-09-10,Southern Illinois
Normie Glick,F,79,190.0,1927-11-10,Loyola Marymount
Georgi Glouchkov,F,80,235.0,1960-01-10,
Clarence Glover,F,80,210.0,1947-11-01,Western Kentucky
Dion Glover,G,77,228.0,1978-10-22,Georgia Tech
Andreas Glyniadakis,C,85,280.0,1981-08-21,
Mike Gminski,C,83,250.0,1959-08-03,Duke
Rudy Gobert,C,85,258.0,1992-06-26,
Dan Godfread,C,82,250.0,1967-06-14,University of Evansville
Tom Gola*,G-F,78,205.0,1933-01-13,La Salle
Ben Goldfaden,F,73,185.0,1913-09-06,George Washington
Anthony Goldwire,G,73,182.0,1971-09-06,Houston
Ryan Gomes,F,79,250.0,1982-09-01,Providence
Glen Gondrezick,F-G,78,218.0,1955-08-30,UNLV
Grant Gondrezick,G,77,205.0,1963-01-19,Pepperdine
Drew Gooden,F,82,250.0,1981-09-24,Kansas
Gail Goodrich*,G,73,170.0,1943-04-23,UCLA
Steve Goodrich,F,82,220.0,1976-03-18,Princeton
Archie Goodwin,G,77,200.0,1994-08-17,Kentucky
Brandon Goodwin,G,72,180.0,1995-10-02,Central Florida Florida Gulf Coast
Jordan Goodwin,G,75,200.0,1998-10-23,Saint Louis
Pop Goodwin,F-C,74,203.0,1920-12-22,
Aaron Gordon,F,80,235.0,1995-09-16,Arizona
Ben Gordon,G,75,200.0,1983-04-04,UConn
Drew Gordon,F,81,245.0,1990-07-12,UCLA New Mexico
Eric Gordon,G-F,75,215.0,1988-12-25,Indiana
Lancaster Gordon,G,75,185.0,1962-06-24,Louisville
Paul Gordon,F,75,185.0,1927-04-08,Notre Dame
Marcin Gortat,C-F,83,240.0,1984-02-17,
Leo Gottlieb,G,71,180.0,1920-11-28,
Andrew Goudelock,G,75,200.0,1988-12-07,College of Charleston
Gerald Govan,F-C,82,220.0,1942-01-02,Saint Mary of the Plains College
Bato Govedarica,G,71,185.0,1928-04-17,DePaul
Joe Graboski,F-C,79,195.0,1930-01-15,
Ricky Grace,G,73,180.0,1967-08-20,Midland College Oklahoma
Calvin Graham,G,74,195.0,1944-06-07,Gannon University
Devonte' Graham,G,73,195.0,1995-02-22,Kansas
Greg Graham,G,76,174.0,1970-11-26,Indiana
Joey Graham,F,79,225.0,1982-06-11,Central Florida Oklahoma State
Mal Graham,G,73,185.0,1945-02-23,NYU
Orlando Graham,F,80,220.0,1965-05-05,West Texas A&M University Auburn University at Montgomery
Paul Graham,F-G,78,200.0,1967-11-28,Ohio University
Stephen Graham,G,78,215.0,1982-06-11,Central Florida Oklahoma State
Treveon Graham,G,77,219.0,1993-10-28,VCU
Jim Grandholm,F-C,84,235.0,1960-10-04,Florida South Florida
Ron Grandison,F,78,215.0,1964-07-09,University of California Irvine New Orleans
Danny Granger,F,81,222.0,1983-04-20,Bradley New Mexico
Stewart Granger,G,75,190.0,1961-10-27,Villanova
Brian Grant,F,81,254.0,1972-03-05,Xavier
Bud Grant,F,75,195.0,1927-05-20,Minnesota
Gary Grant,G,75,185.0,1965-04-21,Michigan
Greg Grant,G,67,140.0,1966-08-29,Trenton State University
Harvey Grant,F,80,195.0,1965-07-04,Clemson Oklahoma
Horace Grant,F-C,82,215.0,1965-07-04,Clemson
Jerami Grant,F,80,210.0,1994-03-12,Syracuse
Jerian Grant,G,76,205.0,1992-10-09,Notre Dame
Josh Grant,F,81,223.0,1967-08-07,Utah
Paul Grant,C,84,245.0,1974-01-06,Boston College Wisconsin
Travis Grant,F,79,215.0,1950-01-01,Kentucky State University
Donte Grantham,F,80,215.0,1995-03-19,Clemson
Don Grate,F-G,74,185.0,1923-08-27,Ohio State
Butch Graves,G,75,200.0,1962-01-05,Yale
Hassani Gravett,G,74,188.0,1996-07-16,Pensacola State South Carolina
Aaron Gray,C,84,270.0,1984-12-07,Pitt
Devin Gray,F,79,240.0,1972-05-31,Clemson
Ed Gray,G,75,210.0,1975-09-27,Tennessee California
Evric Gray,F,79,235.0,1969-12-13,UNLV
Gary Gray,G,73,185.0,1945-02-23,Oklahoma City University
Josh Gray,G,72,180.0,1993-09-09,LSU
Leonard Gray,F,80,240.0,1951-12-19,Cal State Long Beach
Stuart Gray,C-F,84,235.0,1963-05-27,UCLA
Sylvester Gray,F,78,230.0,1967-07-08,Memphis
Wyndol Gray,G-F,73,175.0,1922-03-20,Harvard University
Jeff Grayer,F-G,77,200.0,1965-12-17,Iowa State
Bob Greacen,F,79,206.0,1947-09-15,Rutgers University
A.C. Green,F-C,81,220.0,1963-10-04,Oregon State
Danny Green,G-F,78,215.0,1987-06-22,UNC
Devin Green,G,79,210.0,1982-10-25,Hampton
Draymond Green,F,78,230.0,1990-03-04,Michigan State
Erick Green,G,76,185.0,1991-05-09,Virginia Tech
Gerald Green,G-F,78,205.0,1986-01-26,
Jalen Green,G,76,178.0,2002-02-09,
JaMychal Green,F,80,227.0,1990-06-21,Alabama
Javonte Green,F,76,205.0,1993-07-23,Radford
Jeff Green,F,80,235.0,1986-08-28,Georgetown
Johnny Green,F-C,77,200.0,1933-12-08,Michigan State
Josh Green,G-F,77,200.0,2000-11-16,Arizona
Ken Green,F,80,215.0,1959-09-19,University of Texas Rio Grande Valley
Kenny Green,F,78,210.0,1964-10-11,Wake Forest
Lamar Green,F-C,79,210.0,1947-03-22,Morehead State University
Litterial Green,G,73,185.0,1970-03-07,Georgia
Luther Green,F,79,190.0,1946-11-13,Long Island University
Mike Green,C-F,82,200.0,1951-08-06,Louisiana Tech
Rickey Green,G,72,170.0,1954-08-18,Vincennes University Michigan
Sean Green,G-F,77,210.0,1970-02-02,NC State Iona College
Si Green,G-F,74,185.0,1933-08-20,Duquesne
Sidney Green,F-C,81,220.0,1961-01-04,UNLV
Steve Green,F,79,220.0,1953-10-04,Indiana
Taurean Green,G,72,177.0,1986-11-28,Florida
Tommie Green,G,74,185.0,1956-04-08,Southern University and A&M College
Willie Green,G,76,200.0,1981-07-28,Detroit Mercy
Donté Greene,F,83,226.0,1988-02-21,Syracuse
Orien Greene,G,76,208.0,1982-02-04,Florida Louisiana
Jerry Greenspan,F,77,195.0,1941-11-22,Maryland
Dave Greenwood,F-C,81,222.0,1957-05-27,UCLA
Hal Greer*,G-F,74,175.0,1936-06-26,Marshall
Lynn Greer,G,74,175.0,1979-10-23,Temple
Gary Gregor,F-C,79,225.0,1945-08-13,South Carolina
Claude Gregory,F,80,205.0,1958-12-26,Wisconsin
John Greig,F,79,215.0,1961-04-28,Oregon
Norm Grekin,F,77,180.0,1930-06-22,La Salle
Kevin Grevey,G-F,77,210.0,1953-05-12,Kentucky
Dennis Grey,C-F,80,215.0,1947-08-26,California Western Uiversity
Adrian Griffin,G-F,77,217.0,1974-07-04,Seton Hall
Blake Griffin,F,81,250.0,1989-03-16,Oklahoma
Eddie Griffin,F-C,82,220.0,1982-05-30,Seton Hall
Greg Griffin,F,79,190.0,1952-09-06,Idaho State University
Paul Griffin,F-C,81,205.0,1954-01-20,Western Michigan
Taylor Griffin,F,79,238.0,1986-04-18,Oklahoma
Darrell Griffith,G,76,190.0,1958-06-16,Louisville
Chuck Grigsby,G,77,190.0,1928-08-15,Dayton
Quentin Grimes,G,77,205.0,2000-05-08,Kansas Houston
Derek Grimm,F,81,230.0,1974-08-03,Missouri
Woody Grimshaw,G,73,185.0,1919-09-24,Brown University
Dick Groat,G,71,180.0,1930-11-04,Duke
Bob Gross,F-G,78,200.0,1953-08-03,Seattle University Cal State Long Beach
Mike Grosso,C,81,230.0,1947-09-07,Louisville
Jerry Grote,G,76,215.0,1940-12-28,Loyola Marymount
Alex Groza,C,79,218.0,1926-10-07,Kentucky
Dick Grubar,G,76,184.0,1947-07-26,UNC
Anthony Grundy,G,75,180.0,1979-04-15,NC State
Ernie Grunfeld,G-F,78,210.0,1955-04-24,Tennessee
Gene Guarilia,F,77,220.0,1937-09-13,George Washington
Pétur Guðmundsson,C,86,260.0,1958-10-30,Washington
Marko Guduric,G,78,201.0,1995-03-08,
Richie Guerin*,G,76,195.0,1932-05-29,Iona College
Tom Gugliotta,F,82,240.0,1969-12-19,NC State
Andrés Guibert,F-C,82,225.0,1968-10-28,
Jay Guidinger,C,82,255.0,1969-08-18,University of Minnesota Duluth
Coulby Gunther,F,76,190.0,1923-02-05,Boston College
Dave Gunther,F,79,190.0,1937-07-22,Iowa
Al Guokas,F-G,77,200.0,1925-08-07,Saint Joseph's
Matt Guokas,F,75,195.0,1915-11-11,Saint Joseph's
Matt Guokas,G-F,77,175.0,1944-02-25,Saint Joseph's
Jorge Gutiérrez,G,75,191.0,1988-12-27,California
Kyle Guy,G,73,167.0,1997-08-11,Virginia
A.J. Guyton,G,73,180.0,1978-02-12,Indiana
Rui Hachimura,F,80,230.0,1998-02-08,Gonzaga
Rudy Hackett,F,81,210.0,1953-05-10,Syracuse
Hamed Haddadi,C,86,254.0,1985-05-19,
Jim Hadnot,C-F,82,235.0,1940-01-15,Providence
Scott Haffner,G,75,180.0,1966-02-02,Illinois University of Evansville
Cliff Hagan*,F-G,76,210.0,1931-12-09,Kentucky
Glenn Hagan,G,72,170.0,1955-06-25,St. Bonaventure
Tom Hagan,G,75,185.0,1947-01-29,Vanderbilt
Ashton Hagans,G,75,190.0,1999-07-08,Kentucky
Robert Hahn,C,82,240.0,1925-08-25,NC State
Al Hairston,G,73,170.0,1945-12-11,Bowling Green
Happy Hairston,F,79,225.0,1942-05-31,NYU
Lindsay Hairston,F-C,79,180.0,1951-12-08,Michigan State
Malik Hairston,G,78,220.0,1987-02-23,Oregon
P.J. Hairston,G-F,78,230.0,1992-12-24,UNC
Marcus Haislip,F,82,230.0,1980-12-22,Tennessee
Chick Halbert,C,81,225.0,1919-02-27,West Texas A&M University
Swede Halbrook,C,87,235.0,1933-01-30,Oregon State
Bruce Hale,G-F,73,170.0,1918-08-30,Santa Clara
Hal Hale,G,73,180.0,1945-09-21,Utah State University
Jack Haley,C-F,82,240.0,1964-01-27,UCLA
Tyrese Haliburton,G,77,185.0,2000-02-29,Iowa State
Shaler Halimon,G-F,77,199.0,1945-03-30,Utah State University
Devon Hall,G,74,215.0,1995-07-07,Virginia
Donta Hall,F,81,232.0,1997-08-07,Alabama
Josh Hall,F,81,190.0,2000-10-08,
Mike Hall,F,80,230.0,1984-06-05,George Washington
Tyler Hall,G,77,209.0,1997-03-25,Montana State
Jeff Halliburton,G,77,193.0,1949-07-03,Drake University
Darvin Ham,F,79,220.0,1973-07-23,Texas Tech
Steve Hamer,C,84,245.0,1973-11-13,Tennessee
Dale Hamilton,G-F,72,180.0,1919-08-16,Franklin College
Daniel Hamilton,G-F,79,195.0,1995-08-08,UConn
Dennis Hamilton,F,80,210.0,1944-05-08,Arizona State
Joe Hamilton,G,70,160.0,1948-07-05,University of North Texas
Jordan Hamilton,G-F,79,220.0,1990-10-06,Texas
Justin Hamilton,C,84,260.0,1990-04-01,Iowa State LSU
Ralph Hamilton,G-F,73,188.0,1921-06-10,Indiana
Richard Hamilton,G-F,78,185.0,1978-02-14,UConn
Roy Hamilton,G,74,180.0,1957-07-20,UCLA
Steve Hamilton,F-C,78,190.0,1934-11-30,Morehead State University
Tang Hamilton,F,80,220.0,1978-05-26,Mississippi State
Thomas Hamilton,C,86,330.0,1975-04-03,Pitt
Zendon Hamilton,C-F,83,250.0,1975-04-27,St. John's
Geert Hammink,C,84,262.0,1969-07-12,LSU
Julian Hammond,F,77,205.0,1943-05-27,Tulsa
Tom Hammonds,F,81,215.0,1967-03-27,Georgia Tech
A.J. Hammons,C,84,260.0,1992-08-27,Purdue
Joe Hamood,G,72,180.0,1943-09-07,Houston
R.J. Hampton,G,76,175.0,2001-02-07,
Darrin Hancock,G-F,79,205.0,1971-11-03,Kansas
Ben Handlogten,C,82,240.0,1973-11-16,Western Michigan
Cecil Hankins,G,73,175.0,1922-01-06,Oklahoma State
Phil Hankinson,F,80,195.0,1951-07-26,Penn
Dusty Hannahs,G,75,210.0,1993-09-02,Texas Tech Arkansas
Alex Hannum*,F-C,79,210.0,1923-07-19,USC
Don Hanrahan,F,79,200.0,1929-02-06,Loyola Chicago
Rollen Hans,G,74,210.0,1931-04-13,Long Island University
Ben Hansbrough,G,75,203.0,1987-12-23,Mississippi State Notre Dame
Tyler Hansbrough,F,81,250.0,1985-11-03,UNC
Bob Hansen,G,78,190.0,1961-01-18,Iowa
Glenn Hansen,G,76,205.0,1952-04-21,LSU
Lars Hansen,C,82,225.0,1954-09-14,Washington
Travis Hansen,G,78,205.0,1978-04-15,Utah Valley BYU
Reggie Hanson,F,80,195.0,1968-10-06,Kentucky
Bill Hanzlik,G-F,79,185.0,1957-12-06,Notre Dame
Luke Harangody,F,80,246.0,1988-01-02,Notre Dame
Anfernee Hardaway,G-F,79,195.0,1971-07-18,Memphis
Tim Hardaway*,G,72,175.0,1966-09-01,Texas-El Paso
Tim Hardaway Jr.,G,77,205.0,1992-03-16,Michigan
James Harden,G,77,220.0,1989-08-26,Arizona State
Reggie Harding,C,84,249.0,1942-05-04,
Charlie Hardnett,F-C,80,225.0,1938-09-13,Grambling State University
Alan Hardy,F,79,195.0,1957-05-25,Michigan
James Hardy,F-C,80,220.0,1956-12-01,San Francisco
Ira Harge,C,81,225.0,1941-03-14,New Mexico
John Hargis,G-F,74,180.0,1920-08-20,Texas
Maurice Harkless,F-G,79,220.0,1993-05-11,St. John's
Jerry Harkness,G,74,175.0,1940-05-07,Loyola Chicago
Skip Harlicka,G,73,185.0,1946-10-14,South Carolina
Jerome Harmon,G,76,190.0,1969-02-06,Louisville
Derek Harper,G,76,185.0,1961-10-13,Illinois
Jared Harper,G,70,175.0,1997-09-14,Auburn
